('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1425    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
     2732    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     3897    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    1.731    1.731 financial.py:1(<module>)
      880    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     2756    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      160    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    187/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:911(_load_unlocked)
       21    0.001    0.000    0.600    0.029 __init__.py:1(<module>)
      187    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      188    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      376    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      802    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      188    0.001    0.000    0.068    0.000 _parser.py:969(parse)
      188    0.001    0.000    0.107    0.001 _compiler.py:740(compile)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      318    0.001    0.000    1.032    0.003 ssl.py:1237(recv_into)
     3209    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3430    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
