('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         759778 function calls (743103 primitive calls) in 1.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      359    0.000    0.000    0.005    0.000 ssl.py:850(read)
      359    0.004    0.000    0.004    0.000 {method 'read' of '_ssl._SSLSocket' objects}
      348    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      348    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      347    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      325    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      322    0.001    0.000    0.001    0.000 _make.py:1062(_add_method_dunders)
      316    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      314    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      310    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      298    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      287    0.000    0.000    0.077    0.000 __init__.py:226(compile)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      262    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    252/5    0.001    0.000    0.292    0.058 <frozen importlib._bootstrap>:1349(_find_and_load)
    252/5    0.001    0.000    0.292    0.058 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
