('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752140 function calls (734066 primitive calls) in 6.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      318    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.886    0.886 connectionpool.py:594(urlopen)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.001    0.000 typing.py:687(Union)
      731    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1015(set_ok_domain)
      192    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.017    0.017 ssl_.py:1(<module>)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      311    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       53    0.000    0.000    0.710    0.013 {method 'readline' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
      405    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       43    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      188    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       13    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       40    0.000    0.000    0.351    0.009 response.py:1138(_handle_chunk)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
      225    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      232    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       90    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      502    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       35    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      376    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      299    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       40    0.000    0.000    0.009    0.000 response.py:465(_decode)
      340    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       41    0.000    0.000    0.000    0.000 response.py:1120(_update_chunk_length)
        1    0.000    0.000    0.062    0.062 css_parser.py:1(<module>)
      318    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.001    0.001 ssl.py:1309(_real_close)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       61    0.000    0.000    0.351    0.006 client.py:633(_safe_read)
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      503    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      312    0.000    0.000    0.000    0.000 socket.py:732(readable)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    6.456    6.456 financial.py:9(get_parsed_data)
      174    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       33    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
    30/17    0.000    0.000    0.167    0.010 {built-in method builtins.__import__}
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      223    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       48    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
       52    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      450    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      498    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      176    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      256    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.017    0.009 connection.py:1(<module>)
      313    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.016    0.016 url.py:1(<module>)
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        3    0.000    0.000    0.017    0.006 response.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       54    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.059    0.059 connection.py:835(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.008    0.004 models.py:1(<module>)
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        2    0.000    0.000    0.041    0.021 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    1.251    1.251 sessions.py:673(send)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
  117/115    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
