('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         760919 function calls (744248 primitive calls) in 1.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2005/2003    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
      612    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      648    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     3686    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      174    0.001    0.000    0.086    0.000 _compiler.py:740(compile)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:911(parse_selectors)
     2655    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      297    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3873    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.002    0.002 constant.py:1(<module>)
       78    0.001    0.000    0.001    0.000 base_events.py:814(_call_soon)
      147    0.001    0.000    0.001    0.000 enum.py:390(__setitem__)
      310    0.001    0.000    0.002    0.000 typing.py:1147(__init__)
      325    0.001    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      931    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      955    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      419    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
     3088    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      576    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       61    0.000    0.000    0.000    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
     1323    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
      211    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
      492    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      705    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      140    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
    38/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.003    0.003 selector_events.py:908(_call_connection_lost)
      174    0.000    0.000    0.053    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    192/5    0.000    0.000    0.312    0.062 <frozen importlib._bootstrap_external>:989(exec_module)
      384    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2997    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
  231/227    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
 1179/960    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      187    0.000    0.000    0.017    0.000 _make.py:209(_compile_and_eval)
       81    0.000    0.000    0.001    0.000 _make.py:2359(from_counting_attr)
     1721    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      458    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       37    0.000    0.000    0.003    0.000 enum.py:528(__new__)
     2879    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     2998    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
       27    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       54    0.000    0.000    0.180    0.003 financial_enhanced.py:109(main)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       38    0.000    0.000    0.027    0.001 _make.py:1289(wrap)
       62    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       54    0.000    0.000    0.180    0.003 financial_enhanced.py:22(get_parsed_data)
     2858    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       38    0.000    0.000    0.008    0.000 _make.py:587(__init__)
      744    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      174    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
      348    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      113    0.000    0.000    0.000    0.000 _make.py:2301(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      125    0.000    0.000    0.001    0.000 typing.py:1557(<genexpr>)
       85    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       66    0.000    0.000    0.001    0.000 streams.py:242(feed_data)
      449    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      466    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      252    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      232    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      981    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1898    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1458    0.000    0.000    0.000    0.000 _make.py:2412(<genexpr>)
     1706    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      148    0.000    0.000    0.000    0.000 _make.py:1414(_generate_unique_filename)
